CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ,TimeStamp
195514.4668,209454.942,209822.4621,210683.3603,211872.5177,216520.3601,199911.0147,187155.8189,48.36785184,217.7298021,111.9261181,0.016699664,0.017613236,0.018172317,59:03.8
196512.7496,209804.9125,209900.2862,210591.9268,211852.7582,215833.1377,201783.0722,188139.6635,49.8409912,215.7025416,112.7648077,0.079916299,0.030796796,0.030766035,59:04.0
196384.2139,209002.7941,208979.8637,209533.0786,210778.6651,214209.7816,202294.2201,187979.7237,49.08116528,211.6715821,120.0539603,0.068029123,0.024873471,0.021687933,59:04.2
195914.5168,208007.1482,207879.1551,208369.9097,209437.4998,212590.6493,202248.143,187468.0968,47.13240224,211.825647,125.0342139,0.011479951,0.006312484,0.010279271,59:04.4
195926.1262,207565.7645,207356.6299,207722.1784,208776.5277,211582.092,202569.7072,187448.1333,47.64892272,210.9041872,124.0298618,0.067112621,0.022137639,0.028279224,59:04.6
195957.0293,207228.339,206832.7745,207061.5518,208478.3403,210474.1311,202857.9803,187474.9673,49.97479088,208.6032234,123.8202504,0.170610891,0.04638367,0.03901699,59:04.8
195322.6196,206045.6188,205722.3288,205959.4565,207277.165,209035.8862,202301.9514,186730.0359,49.7115864,215.458992,124.9629192,0.224584386,0.037329006,0.035165926,59:05.0
178939.3463,194577.3674,194431.893,194744.93,195576.7207,197565.6571,190057.3243,171075.7543,48.743492,182.8494707,166.0189115,0.556984902,0.14187366,0.056050638,59:05.2
193235.996,212088.8994,211971.369,212402.8993,212956.5603,214669.5384,202843.5259,181659.9189,62.21050304,151.0016066,183.6258995,0.26905351,0.068419258,0.037246487,59:05.4
192704.4166,211784.18,211451.7782,212287.968,211591.3857,214460.5717,200374.7543,179238.7587,69.24756048,128.0731514,201.4554394,0.195959459,0.033491125,0.040229389,59:05.6
192689.5563,210124.9795,210124.6291,210757.3475,209348.645,213392.8273,201876.6828,178694.4694,68.1279648,121.2063955,197.4725794,0.693278499,0.105270238,0.182998067,59:05.8
190075.9283,208801.3855,209096.3091,209505.2917,208968.3798,212848.3294,203118.6224,180454.1804,70.7075152,200.061652,138.8984733,0.636959307,0.089726821,0.123336598,59:06.0
186791.2174,205844.9942,205977.7813,206356.4979,206206.0095,209708.1275,201649.0312,178307.2005,67.48594608,202.5598971,129.488669,0.064393878,0.011347139,0.028446216,59:06.2
