CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,AccX,AccY,AccZ,GyX,GyY,GyZ
90482.3509,103450.5075,110754.759,107065.6295,119344.4853,102054.7402,58186.67718,68432.86452,0.96296704,13.74095856,247.1140918,0.005965317,0.004129872,0.005249987
90467.76149,103425.37,110725.114,107030.9978,119337.4776,102053.3962,58231.9367,68464.75706,0.76129088,13.73387792,247.1214166,0.007536602,0.003598624,0.005979477
90422.01605,103369.7004,110686.535,106983.2466,119272.04,101933.7299,58279.06739,68496.50359,0.86298352,13.3445648,247.1806254,0.006435042,0.003084465,0.005594712
90372.18784,103293.8092,110603.2974,106893.5864,119208.0365,101925.0721,58311.29374,68507.45996,0.95429936,13.1565616,247.1640226,0.003636221,0.003941884,0.005175768
90305.41669,103224.8796,110559.5764,106839.5787,119133.7023,101839.0588,58328.90625,68527.34092,0.71673168,13.40780224,247.2686451,0.004517078,0.003681631,0.005207506
90249.5573,103133.9301,110467.4154,106738.4292,119057.3391,101841.3396,58342.86545,68524.29145,0.6036856,13.93030464,247.1746435,0.005005358,0.003811514,0.005154772
90209.04312,103097.9247,110449.1904,106712.9524,119008.3708,101740.4435,58359.34076,68536.76156,0.91364672,13.53781744,247.2160286,0.005355455,0.004344715,0.005358385
90138.31243,103004.202,110354.8925,106615.6981,118933.1259,101675.1415,58373.23688,68541.77376,0.74517632,13.44357168,247.146443,0.005298815,0.003737295,0.005525376
90102.73149,102977.9981,110354.9439,106598.1041,118907.4178,101610.7903,58387.58941,68548.58326,0.81195408,13.74547552,247.0760029,0.005116198,0.004044423,0.005335924
90074.22698,102935.3354,110316.192,106556.3382,118877.9473,101603.0117,58416.96025,68574.7123,0.84833392,13.65367136,247.167807,0.0048828,0.003958486,0.005258776
90049.15936,102893.2673,110285.142,106516.5478,118828.4826,101545.921,58449.61372,68606.11536,0.77923664,13.7303376,247.1121386,0.00580272,0.003457511,0.005361803
89994.27992,102824.2757,110218.1341,106444.5441,118772.7433,101508.1663,58474.42549,68596.39542,0.83173104,13.6766224,247.1695162,0.005080065,0.004303212,0.006146957
89964.1857,102808.5265,110224.2181,106439.5726,118755.3713,101514.4249,58488.65463,68611.20598,0.68950784,13.76659536,247.0321762,0.004741687,0.003591788,0.006052231
89947.28855,102783.2203,110205.0475,106413.6,118743.7183,101503.8131,58527.92289,68651.00293,0.83673632,13.68822,247.178428,0.006057113,0.003951162,0.005806137
89878.80676,102655.791,110077.1816,106274.9443,118605.7057,101427.3027,58576.28729,68674.09615,0.80475136,13.59995616,247.1226374,0.006029281,0.004054677,0.005747544
89809.30378,102588.4643,110019.7397,106214.2428,118549.1749,101347.4495,58602.97942,68678.15445,0.67290496,13.77599552,247.102128,0.007653301,0.004003896,0.006096176
89746.60129,102519.1737,109963.8205,106150.3374,118485.8345,101237.9653,58638.31041,68689.11566,0.92011696,13.1858608,247.1536458,0.00579979,0.003897939,0.005458482
89724.4165,102509.8811,109961.6375,106143.5852,118479.8838,101196.5515,58660.01828,68703.80967,0.8783656,13.11896096,247.2334861,0.005018542,0.003939931,0.005095202
89660.13725,102398.5937,109850.3224,106019.6871,118367.3383,101154.1869,58695.27637,68717.00784,0.67253872,13.70579952,247.1024942,0.005952133,0.003495597,0.005892563
89595.07262,102331.5658,109797.6086,105960.3877,118313.5918,101072.6755,58718.76922,68704.90841,0.8185464,13.4208648,247.054883,0.003988271,0.003818838,0.005507798
89553.80436,102272.684,109749.7236,105905.0834,118260.9825,101046.4311,58742.64365,68714.24817,0.76275584,13.51633136,247.1823346,0.005248522,0.003988759,0.005672349
89489.96591,102223.3039,109713.9671,105860.692,118213.9855,100971.384,58773.09102,68712.89961,0.74175808,13.60422896,247.1171438,0.005227037,0.003697744,0.005586411
89472.41359,102180.2331,109668.3138,105808.2478,118180.4686,100965.7172,58819.70194,68724.6738,0.73724112,13.62913328,247.088455,0.004478504,0.003550772,0.005596665
89385.65017,102047.8217,109540.1373,105672.2006,118041.4523,100854.1141,58836.34365,68702.87199,0.78607312,13.57785968,247.1419261,0.006358382,0.003678702,0.00515526
89256.61717,101871.5434,109363.4365,105487.4999,117872.2193,100746.4124,58838.11825,68655.24616,0.72649808,13.64451536,247.118853,0.006289046,0.003440909,0.006162582
89143.46105,101781.927,109298.1155,105410.3196,117781.5732,100597.6255,58822.82999,68593.66266,0.66008656,13.57785968,247.1471755,0.005694321,0.003226066,0.005978012
89098.80202,101722.1588,109244.5943,105351.8682,117731.7622,100592.7345,58833.0917,68561.93308,0.74688544,13.60142112,247.1657317,0.004557606,0.003977529,0.005869614
89047.62765,101665.7086,109201.9222,105302.358,117670.3556,100528.6496,58850.81959,68537.74393,0.79767072,13.54135776,247.07466,0.005009753,0.003590811,0.005561997
88999.05748,101599.2561,109137.6435,105233.8589,117617.5948,100521.6584,58873.22801,68517.58072,0.57487472,13.75975888,247.0698989,0.006139633,0.003781729,0.006557112
88953.36844,101578.9528,109137.257,105223.4261,117589.3168,100450.0663,58887.26498,68504.97892,0.69353648,13.61033296,247.2056518,0.0062285,0.0037954,0.005422349
88931.79589,101524.2314,109076.5871,105161.2666,117550.4573,100421.0309,58935.99547,68529.59927,0.74944912,13.33260096,247.2002803,0.007210919,0.003875478,0.006151351
88864.78705,101454.8836,109023.3815,105101.8574,117476.4435,100295.1755,58959.63051,68516.22135,0.66033072,13.27790912,247.1287414,0.006978498,0.003774893,0.005593736
88832.93917,101410.9511,108979.0454,105054.2232,117444.8208,100276.6416,58998.64416,68521.44355,0.88739952,13.05779888,247.0973669,0.00434911,0.003381339,0.00518651
88782.06189,101377.8948,108969.4464,105032.0369,117407.4066,100203.7212,59042.52726,68532.35671,0.75164656,13.3488376,247.1728123,0.005039538,0.004031728,0.004874011
88752.11709,101319.3794,108905.4186,104965.3047,117362.352,100212.9569,59075.80728,68534.96009,0.59050096,13.41158672,247.0855251,0.004906237,0.003809072,0.005331529
88628.61134,101140.8962,108727.7628,104779.7154,117165.722,100065.2674,59093.66041,68506.94942,0.70965104,13.52292368,247.0813744,0.004908191,0.003567862,0.004979968
88548.01372,101045.3406,108626.2744,104679.3439,117084.2044,100003.0907,59075.94852,68466.56318,0.63286272,13.4617616,247.1076216,0.005928696,0.003619131,0.005269518
88430.20678,100894.0186,108488.5045,104530.1211,116921.7663,99836.19,59070.31431,68416.3277,0.68193888,13.38875776,247.1864853,0.005779282,0.003943349,0.00580272
88287.78731,100696.4556,108281.873,104323.6478,116732.9451,99759.79098,59044.23411,68336.99693,0.70696528,13.57309856,247.1247128,0.005622056,0.003989736,0.005412096
88179.617,100618.0816,108230.9069,104263.7746,116643.5195,99619.67468,59000.61213,68267.79057,0.6854792,13.47006304,247.1259336,0.004843738,0.004094228,0.005123034
88144.45883,100581.7861,108194.0242,104226.2567,116622.6836,99617.39607,58994.48476,68226.71601,0.53629744,13.49814144,247.0735613,0.004536121,0.003764151,0.005652818
